|   idx | short_name                                         |               start_ns |                 end_ns |    duration_ns |   stream | category             | grid             | block            | reg... | shared_me... | comm_algorithm | comm_si... | transfer_bytes | transfer_kind  | full_name                                                                                                                                                                                                |
|    64 | nvjet_tst_16x64_64x16_4x1_v_bz_TNN                 |       3523299771183372 |       3523299771188651 |           5279 |       23 | compute_kernel       | 96x1x1           | 256x1x1          |    168 |       172552 |                |            |                |                | nvjet_tst_16x64_64x16_4x1_v_bz_TNN                                                                                                                                                                       |
|    65 | triton_poi_fused_add_clone_copy_expand_index_mu... |       3523299771188972 |       3523299771190987 |           2015 |       23 | compute_kernel       | 2x1x1            | 128x1x1          |     56 |            0 |                |            |                |                | triton_poi_fused_add_clone_copy_expand_index_mul_neg_slice_split_stack_unsqueeze_view_3                                                                                                                  |
|    66 | void vllm::concat_and_cache_mla_kernel<__nv_bfl... |       3523299771191308 |       3523299771193452 |           2144 |       23 | compute_kernel       | 1x1x1            | 512x1x1          |     30 |            0 |                |            |                |                | void vllm::concat_and_cache_mla_kernel<__nv_bfloat16, unsigned char, (vllm::Fp8KVCacheDataType)1>(__nv_bfloat16 const*, __nv_bfloat16 const*, unsigned char*, long const*, int, int, int, int, int, i... |
|    67 | nvjet_tst_64x8_64x16_4x1_v_bz_NNT                  |       3523299771193771 |       3523299771196716 |           2945 |       23 | compute_kernel       | 64x1x1           | 256x1x1          |    168 |       164360 |                |            |                |                | nvjet_tst_64x8_64x16_4x1_v_bz_NNT                                                                                                                                                                        |
|    68 | triton_poi_fused__to_copy_cat_clamp_mul_recipro... |       3523299771197036 |       3523299771198892 |           1856 |       23 | compute_kernel       | 18x1x1           | 128x1x1          |     32 |            0 |                |            |                |                | triton_poi_fused__to_copy_cat_clamp_mul_reciprocal_view_0                                                                                                                                                |
|    69 | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVP... |       3523299771199020 |       3523299771208332 |           9312 |       23 | compute_kernel       | 74x2x1           | 512x1x1          |    128 |       161456 |                |            |                |                | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVPerCta256PagedKvDenseP64MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen                                                                                        |
|    70 | nvjet_tst_8x64_64x16_4x1_v_bz_TNN                  |       3523299771208652 |       3523299771212364 |           3712 |       23 | compute_kernel       | 128x1x1          | 256x1x1          |    168 |       156168 |                |            |                |                | nvjet_tst_8x64_64x16_4x1_v_bz_TNN                                                                                                                                                                        |
|    71 | nvjet_tst_64x8_64x16_4x1_v_bz_TNT                  |       3523299771212684 |       3523299771218124 |           5440 |       23 | compute_kernel       | 112x1x1          | 256x1x1          |    168 |       164360 |                |            |                |                | nvjet_tst_64x8_64x16_4x1_v_bz_TNT                                                                                                                                                                        |
|    72 | void flashinfer::trtllm_allreduce_fusion::allre... |       3523299771218092 |       3523299771225580 |           7488 |       23 | communication        | 4x1x1            | 224x1x1          |     62 |          136 | oneshot        |          8 |                |                | void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, true, true>(flashinfer::trtllm_al... |
|    73 | memcpy32_post                                      |       3523299771225964 |       3523299771227244 |           1280 |       23 | memory_transfer      | 14x1x1           | 256x1x1          |     16 |            0 |                |            |                | kernel_memcpy  | memcpy32_post                                                                                                                                                                                            |
