# GPU Operations Trace - nvidia/Kimi-K2.5-NVFP4 on vLLM (GPU 0)
# Trace: trace-vllm-nvidia__Kimi-K2.5-NVFP4-tp_8-isl_4-osl_1024-b_1-mode_kimi_k25_nvfp4_b200.sqlite
# Total ops on device 0: 89772 | Showing last 1000 (steady-state)
# Time window: 731620171 .. 778401251 ns
# Categories: {'compute_kernel': 920, 'communication': 68, 'memory_transfer': 12}
#
+-----+----------------------------------------------------+-----------+-----------+-------------+--------+-----------------+-------+-------+------+--------+-----------+-----------+------------+-----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| idx | short_name                                         | start_ns  | end_ns    | duration_ns | stream | category        | grid  | block | regs | shmem  | comm_algo | comm_size | xfer_bytes | xfer_kind | full_name                                                                                                                                                                                                |
| 55  | vectorized_elementwise_kernel                      | 731808651 | 731810251 | 1600        | 23     | compute_kernel  | 1     | 128   | 32   | 0      |           |           |            |           | void at::native::vectorized_elementwise_kernel<(int)8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3) |
| 56  | routingIndicesBlockKernel                          | 731810443 | 731818219 | 7776        | 23     | compute_kernel  | 1     | 384   | 40   | 4768   |           |           |            |           | void moe::dev::routing::routingCustom::routingIndicesBlockKernel<moe::dev::routing::routingCustom::KernelParams<float, __nv_bfloat16, (int)384, (int)8, moe::dev::routing::TopKExpertSelect<moe::dev::.. |
| 57  | triton_poi_fused_mul_silu_slice_0                  | 731813931 | 731815915 | 1984        | 3649   | compute_kernel  | 1     | 128   | 16   | 0      |           |           |            |           | triton_poi_fused_mul_silu_slice_0                                                                                                                                                                        |
| 58  | vectorized_elementwise_kernel                      | 731816395 | 731817579 | 1184        | 3649   | compute_kernel  | 1     | 128   | 16   | 0      |           |           |            |           | void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)                                                                  |
| 59  | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x512.. | 731818283 | 731828267 | 9984        | 23     | compute_kernel  | 4x8   | 512   | 128  | 202240 |           |           |            |           | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x512_s5_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schedS_biasFp32M_bN_tma_tmaSf_rgTma_clmp_swiGlu_dynB_sm100f                                         |
| 60  | cvt_fp16_to_fp4                                    | 731818539 | 731819947 | 1408        | 3649   | compute_kernel  | 128   | 32    | 32   | 0      |           |           |            |           | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, (bool)0>(int, int, int, const T1 *, const float *, unsigned int *, unsigned int *)                                                                             |
| 61  | device_kernel                                      | 731820107 | 731824619 | 4512        | 3649   | compute_kernel  | 1x56  | 256   | 109  | 201728 |           |           |            |           | void cutlass::device_kernel<flashinfer::gemm::DeviceGemmFp4GemmSm100___nv_bfloat16_128_128_256_1_2_1_1SM::Sm10x11xOnly<cutlass::gemm::kernel::GemmUniversal<cute::tuple<int, int, int, int>, cutlass::.. |
| 62  | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256_.. | 731824971 | 731831723 | 6752        | 23     | compute_kernel  | 56x8  | 512   | 128  | 184432 |           |           |            |           | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256_s9_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f                                                     |
| 63  | finalizeKernel                                     | 731830827 | 731834315 | 3488        | 23     | compute_kernel  | 28    | 256   | 32   | 0      |           |           |            |           | void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, (int)4, (bool)1>>(T1)                                                                 |
| 64  | triton_poi_fused_add_mul_0                         | 731834443 | 731835851 | 1408        | 23     | compute_kernel  | 7     | 128   | 26   | 0      |           |           |            |           | triton_poi_fused_add_mul_0                                                                                                                                                                               |
| 65  | allreduce_fusion_kernel_oneshot_lamport            | 731836107 | 731845451 | 9344        | 23     | communication   | 4     | 224   | 62   | 136    | allreduce | 896       |            |           | void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, (int)8, (bool)1, (bool)1>(flashinfer:.. |
| 66  | fused_a_gemm_kernel                                | 731845771 | 731853067 | 7296        | 23     | compute_kernel  | 132   | 256   | 48   | 197632 |           |           |            |           | void fused_a_gemm_kernel<(int)1, (int)2112, (int)7168, (int)16, (int)8, (int)256, (int)16>(__nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, int)                                           |
| 67  | triton_poi_fused_1                                 | 731853387 | 731855179 | 1792        | 23     | compute_kernel  | 1     | 128   | 47   | 0      |           |           |            |           | triton_poi_fused_1                                                                                                                                                                                       |
| 68  | triton_red_fused_2                                 | 731855531 | 731857834 | 2303        | 23     | compute_kernel  | 2     | 512   | 26   | 8192   |           |           |            |           | triton_red_fused_2                                                                                                                                                                                       |
| 69  | nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN           | 731857835 | 731863595 | 5760        | 23     | compute_kernel  | 96    | 256   | 255  | 172552 |           |           |            |           | nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN                                                                                                                                                                 |
| 70  | triton_poi_fused_add_clone_copy_expand_index_mul.. | 731863915 | 731865899 | 1984        | 23     | compute_kernel  | 2     | 128   | 56   | 0      |           |           |            |           | triton_poi_fused_add_clone_copy_expand_index_mul_neg_slice_split_stack_unsqueeze_view_3                                                                                                                  |
| 71  | concat_and_cache_mla_kernel                        | 731866219 | 731868651 | 2432        | 23     | compute_kernel  | 1     | 512   | 30   | 0      |           |           |            |           | void vllm::concat_and_cache_mla_kernel<__nv_bfloat16, unsigned char, (vllm::Fp8KVCacheDataType)1>(const T1 *, const T1 *, T2 *, const long *, int, int, int, int, int, int, int, const float *)          |
| 72  | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_NNT            | 731868907 | 731871659 | 2752        | 23     | compute_kernel  | 64    | 256   | 255  | 156168 |           |           |            |           | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_NNT                                                                                                                                                                  |
| 73  | triton_poi_fused__to_copy_cat_clamp_mul_reciproc.. | 731871979 | 731873802 | 1823        | 23     | compute_kernel  | 18    | 128   | 16   | 0      |           |           |            |           | triton_poi_fused__to_copy_cat_clamp_mul_reciprocal_view_0                                                                                                                                                |
| 74  | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVPe.. | 731873803 | 731883115 | 9312        | 23     | compute_kernel  | 74x2  | 512   | 128  | 161456 |           |           |            |           | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVPerCta256PagedKvDenseP32MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen                                                                                        |
